risk_source,customer_set,beta,lambda_concentration,runs,common_global_risk_mean,common_global_risk_std,common_global_cvar90_mean,common_global_cvar90_std,common_max_vehicle_risk_mean,common_max_vehicle_risk_std,common_max_vehicle_cvar90_mean,common_max_vehicle_cvar90_std,common_vehicle_risk_gini_mean,common_vehicle_risk_gini_std,common_edge_burden_gini_used_mean,common_edge_burden_gini_used_std,common_top10_burden_share_mean,common_top10_burden_share_std,common_max_edge_burden_mean,common_max_edge_burden_std
A_Stable-Tail-eta0.3_seed3,A,2.0,0.0,10,3.139787525414815,0.15156029980636873,0.07006682878202578,0.012405675480616432,0.9392576211943456,0.08029093107436902,0.10974189008645181,0.018799651484449644,0.2147547139014619,0.05331866118985863,0.7469115831783271,0.007410302876821418,0.7456679545661833,0.010379528983320802,0.5313090438090153,0.0
A_Stable-Tail-eta0.3_seed4,A,0.0,0.0,10,7.959816901084075,0.7658979944201808,0.23567049580945842,0.05127880147298579,2.428080332212452,0.48264264768863535,0.41230505239088855,0.11131733715375688,0.16179987701502715,0.061296232864304204,0.8524898232201188,0.00983743893682244,0.8837653227641111,0.01080064670692477,1.183652349085785,0.4310658753796155
A_Stable-Tail-eta0.3_seed4,A,1.0,0.0,10,3.1623606978344467,0.0712164414595673,0.08319539761074861,0.0031247613543171765,1.1702813838109818,0.20471249290008287,0.14318843090726938,0.022595888507074616,0.2803765528128515,0.0768031523893879,0.7527289336978138,0.006092387439119494,0.7514454105662687,0.0076920710540192205,0.5313090438090153,0.0
A_Stable-Tail-eta0.3_seed4,A,2.0,0.0,10,2.5710676893185296,0.2202920790194569,0.045880237550858814,0.0056989220605014905,0.8405366651701692,0.11188328451004359,0.1020304341938365,0.015938909789104803,0.2676038422407311,0.05129978381723853,0.7053039168206716,0.025303130685176013,0.6913347461429119,0.030696751321689236,0.5313090438090153,0.0
A_Stable-Tail-eta0.3_seed5,A,0.0,0.0,10,7.959816901084075,0.7658979944201808,0.23567049580945842,0.05127880147298579,2.428080332212452,0.48264264768863535,0.41230505239088855,0.11131733715375688,0.16179987701502715,0.061296232864304204,0.8524898232201188,0.00983743893682244,0.8837653227641111,0.01080064670692477,1.183652349085785,0.4310658753796155
A_Stable-Tail-eta0.3_seed5,A,1.0,0.0,10,3.4428774685403147,0.29379424345465327,0.09357370474915455,0.011729576094315141,1.1665236522301752,0.1308168416822133,0.15706981288385274,0.01661329441275232,0.2709344599550319,0.06663577531797374,0.7627827947411536,0.016687902360129687,0.7673844285739962,0.019279966919754844,0.5624034212293566,0.09832905507318938
A_Stable-Tail-eta0.3_seed5,A,2.0,0.0,10,2.84993535996887,0.23127605477245508,0.06023662130963865,0.0167436942326746,0.9371515921564966,0.058189346571360906,0.10369175060207307,0.017662913256008515,0.2472106651795653,0.04998583394003826,0.7294254480676938,0.016139250926481295,0.7223810203408999,0.019844694644891313,0.5313090438090153,0.0
A_Stable-Tail-eta0.3_seed6,A,0.0,0.0,10,7.959816901084075,0.7658979944201808,0.23567049580945842,0.05127880147298579,2.428080332212452,0.48264264768863535,0.41230505239088855,0.11131733715375688,0.16179987701502715,0.061296232864304204,0.8524898232201188,0.00983743893682244,0.8837653227641111,0.01080064670692477,1.183652349085785,0.4310658753796155
A_Stable-Tail-eta0.3_seed6,A,1.0,0.0,10,3.229711836657441,0.19851782415621533,0.08047791730161921,0.01428659193370729,1.0689909415908185,0.14531169244933928,0.13414908805474673,0.0076197355752064076,0.23867582833486098,0.058201585253386895,0.7561310489687424,0.01089224574664371,0.7569904767916495,0.014337920884617838,0.5313090438090153,0.0
A_Stable-Tail-eta0.3_seed6,A,2.0,0.0,10,2.782918728013302,0.18653509234476426,0.05252086755757211,0.005932149224992423,0.9201366690446962,0.08136568153577879,0.09289204252211795,0.007098309738386031,0.26657382187871165,0.05714677124928121,0.7267167711850476,0.015228586508252942,0.7158183030815105,0.018696798329711533,0.5313090438090153,0.0
