method,customer_set,budget,value_mean,value_std,cost_increase_mean,model_seeds,metric
GCN,A,0.185,0.10343542498588384,0.02716715583843198,0.14726036107806914,10,CVaR90
GCN,A,0.19,0.0985521121085676,0.026489425043885326,0.15360017831748335,10,CVaR90
GCN,A,0.195,0.09422963030661324,0.02235714463670891,0.16021804898662798,10,CVaR90
GCN,A,0.2,0.08885744837653203,0.019793730105694383,0.16943518426816817,10,CVaR90
GCN,A,0.205,0.0819300941711087,0.008145078766487587,0.1796638914214296,10,CVaR90
GCN,A,0.21,0.07928111581798475,0.005888417079344465,0.18377201814909544,10,CVaR90
GCN,A,0.215,0.07928111581798475,0.005888417079344465,0.18377201814909544,10,CVaR90
GCN,A,0.22,0.07763431068110142,0.005410427775167147,0.18840567001597286,10,CVaR90
GCN,A,0.225,0.0743476097210696,0.007937155299995445,0.19796190649186401,10,CVaR90
GCN,A,0.23,0.07315821768681713,0.00894248300380661,0.20177661471650327,10,CVaR90
GCN,A,0.235,0.07315821768681713,0.00894248300380661,0.20177661471650327,10,CVaR90
GCN,A,0.24,0.07315821768681713,0.00894248300380661,0.20177661471650327,10,CVaR90
GCN,A,0.245,0.07164650398424485,0.008948622290040495,0.20503675055870052,10,CVaR90
GCN,A,0.25,0.07096361484138344,0.00975264902708268,0.20687894701061463,10,CVaR90
GCN,A,0.255,0.07096361484138344,0.00975264902708268,0.20687894701061463,10,CVaR90
GCN,A,0.26,0.06555252443200552,0.006566772954110241,0.2191822180226845,10,CVaR90
GCN,A,0.265,0.06263906923139603,0.007953957731125167,0.2276942476155089,10,CVaR90
GCN,A,0.27,0.058612917579932054,0.00872632766582588,0.24043284393356287,10,CVaR90
GCN,A,0.275,0.05515025630225253,0.004780506451968407,0.2505113927061008,10,CVaR90
GCN,A,0.28,0.05440539349026061,0.0043987017734286515,0.2529622633364538,10,CVaR90
GCN,A,0.285,0.05440539349026061,0.0043987017734286515,0.2529622633364538,10,CVaR90
GCN,A,0.29,0.05440539349026061,0.0043987017734286515,0.2529622633364538,10,CVaR90
GCN,A,0.295,0.05440539349026061,0.0043987017734286515,0.2529622633364538,10,CVaR90
GCN,A,0.3,0.05423969517102546,0.0042785615142867175,0.2540494518555997,10,CVaR90
GCN,A,0.305,0.05380210193690802,0.0042653182687120905,0.2557352972759361,10,CVaR90
GCN,A,0.31,0.05380210193690802,0.0042653182687120905,0.2557352972759361,10,CVaR90
GCN,A,0.315,0.0527444218113723,0.004872802897200333,0.2609230090523253,10,CVaR90
GCN,A,0.32,0.05195368602014137,0.004015363832229569,0.266961624457052,10,CVaR90
GCN,A,0.325,0.05148647465679085,0.004870271279188135,0.2705364628409618,10,CVaR90
GCN,A,0.33,0.050887038312989206,0.00469864999012053,0.272213735239739,10,CVaR90
GCN,A,0.335,0.050798004017541434,0.004737759613916565,0.2740918976003712,10,CVaR90
GCN,A,0.34,0.049681168835893824,0.00571024483803533,0.2806429155912457,10,CVaR90
GCN,A,0.345,0.04724550324006322,0.007268591738331176,0.29911713497145587,10,CVaR90
GCN,A,0.35,0.04692250697304413,0.007651681352684063,0.30317594174947926,10,CVaR90
GCN,A,0.355,0.045743021133775284,0.006676431234203572,0.3119809581161435,10,CVaR90
GCN,A,0.36,0.045042057092654145,0.006482396166780029,0.31973498956948687,10,CVaR90
GCN,A,0.365,0.045042057092654145,0.006482396166780029,0.31973498956948687,10,CVaR90
GCN,A,0.37,0.045042057092654145,0.006482396166780029,0.31973498956948687,10,CVaR90
GCN,A,0.375,0.045042057092654145,0.006482396166780029,0.31973498956948687,10,CVaR90
GCN,A,0.38,0.045042057092654145,0.006482396166780029,0.31973498956948687,10,CVaR90
GCN,A,0.385,0.045042057092654145,0.006482396166780029,0.31973498956948687,10,CVaR90
GCN,A,0.39,0.044398442983974565,0.0060236830920927294,0.3263909401903759,10,CVaR90
GCN,A,0.395,0.044398442983974565,0.0060236830920927294,0.3263909401903759,10,CVaR90
GCN,A,0.4,0.044051129031099166,0.0060523291942320085,0.3303643648050257,10,CVaR90
GCN,B,0.1,0.25918567434636797,0.0,0.0,10,CVaR90
GCN,B,0.105,0.25918567434636797,0.0,0.0,10,CVaR90
GCN,B,0.11,0.25918567434636797,0.0,0.0,10,CVaR90
GCN,B,0.115,0.25918567434636797,0.0,0.0,10,CVaR90
GCN,B,0.12,0.25918567434636797,0.0,0.0,10,CVaR90
GCN,B,0.125,0.25467380675140855,0.0142677781011779,0.004844973868187062,10,CVaR90
GCN,B,0.13,0.23950957664164613,0.02627039857535577,0.0200820185290646,10,CVaR90
GCN,B,0.135,0.2034198110781445,0.036900207745464195,0.06123913566992285,10,CVaR90
GCN,B,0.14,0.17825262451077303,0.036146487663091406,0.09000519273770972,10,CVaR90
GCN,B,0.145,0.15476881359780303,0.018668848261693922,0.12124610764307168,10,CVaR90
GCN,B,0.15,0.14526272625104927,0.009689241263475317,0.1315148750838546,10,CVaR90
GCN,B,0.155,0.1413164635095018,0.005812269217227112,0.1360428513028698,10,CVaR90
GCN,B,0.16,0.1413164635095018,0.005812269217227112,0.1360428513028698,10,CVaR90
GCN,B,0.165,0.1413164635095018,0.005812269217227112,0.1360428513028698,10,CVaR90
GCN,B,0.17,0.1413164635095018,0.005812269217227112,0.1360428513028698,10,CVaR90
GCN,B,0.175,0.1413164635095018,0.005812269217227112,0.1360428513028698,10,CVaR90
GCN,B,0.18,0.1413164635095018,0.005812269217227112,0.1360428513028698,10,CVaR90
GCN,B,0.185,0.1413164635095018,0.005812269217227112,0.1360428513028698,10,CVaR90
GCN,B,0.19,0.1413164635095018,0.005812269217227112,0.1360428513028698,10,CVaR90
GCN,B,0.195,0.1413164635095018,0.005812269217227112,0.1360428513028698,10,CVaR90
GCN,B,0.2,0.1396174432511355,0.006988611245922558,0.13836878627877422,10,CVaR90
GCN,B,0.205,0.13932630036369326,0.007564077620183471,0.13909527676041936,10,CVaR90
GCN,B,0.21,0.13413944218108062,0.015679418017460985,0.14702125065057897,10,CVaR90
GCN,B,0.215,0.12959138912586302,0.019435466980174433,0.15516086109030974,10,CVaR90
GCN,B,0.22,0.12689004364609685,0.022179653105505962,0.16201720783955245,10,CVaR90
GCN,B,0.225,0.120049266532628,0.02068801405137727,0.17689657601220818,10,CVaR90
GCN,B,0.23,0.11316421459529007,0.01760985699662868,0.18990852925791998,10,CVaR90
GCN,B,0.235,0.10769007473181477,0.012950248376578816,0.20461298512135948,10,CVaR90
GCN,B,0.24,0.10183468148371744,0.009728348398640249,0.21603722286877924,10,CVaR90
GCN,B,0.245,0.09767274020592845,0.007230494343510677,0.22459150956172086,10,CVaR90
GCN,B,0.25,0.09767274020592845,0.007230494343510677,0.22459150956172086,10,CVaR90
GCN,B,0.255,0.09767274020592845,0.007230494343510677,0.22459150956172086,10,CVaR90
GCN,B,0.26,0.09767274020592845,0.007230494343510677,0.22459150956172086,10,CVaR90
GCN,B,0.265,0.09711852986513808,0.007805980141284592,0.22755757214232225,10,CVaR90
GCN,B,0.27,0.09635622802493543,0.008648169796015594,0.2306896947478057,10,CVaR90
GCN,B,0.275,0.0960260506643491,0.009120268609602536,0.23188010662580658,10,CVaR90
GCN,B,0.28,0.09430868569097349,0.010650457688061605,0.23822972595375352,10,CVaR90
GCN,B,0.285,0.09289735958225155,0.009918281684943573,0.24214250087975514,10,CVaR90
GCN,B,0.29,0.0914089709586447,0.00974993206395167,0.24607439426869,10,CVaR90
GCN,B,0.295,0.08984406324359637,0.010079249284383167,0.25148163212621644,10,CVaR90
GCN,B,0.3,0.08667026887269055,0.009445110262237265,0.258387111040453,10,CVaR90
GCN,B,0.305,0.08428685423395024,0.00978937825372887,0.2653747355445845,10,CVaR90
GCN,B,0.31,0.08244285180734315,0.008982350274297016,0.27268133829985486,10,CVaR90
GCN,B,0.315,0.08175224474762278,0.008364292373688466,0.277933647823787,10,CVaR90
GCN,B,0.32,0.08023674419339821,0.005677025832650025,0.2847843220607208,10,CVaR90
GCN,B,0.325,0.07930085732982826,0.004695380964680802,0.2892276340655261,10,CVaR90
GCN,B,0.33,0.07889557048386422,0.00502089507911414,0.29152303694114035,10,CVaR90
GCN,B,0.335,0.07877746074012801,0.00508070107049016,0.2936996615022597,10,CVaR90
GCN,B,0.34,0.07817242097257994,0.005088641560854122,0.29722861012100665,10,CVaR90
GCN,B,0.345,0.07718476543389578,0.005920153345479484,0.3012951966540455,10,CVaR90
GCN,B,0.35,0.07669423802243325,0.006389519330690974,0.30295959931759114,10,CVaR90
GCN,B,0.355,0.07597177655997173,0.006754352105000815,0.3067466436355513,10,CVaR90
GCN,B,0.36,0.07567581483839478,0.006828445719603177,0.3074232921057463,10,CVaR90
GCN,B,0.365,0.07490083739411416,0.006919429073142063,0.3139059294080023,10,CVaR90
GCN,B,0.37,0.07471691965294139,0.006961027445286018,0.31638777018742503,10,CVaR90
GCN,B,0.375,0.07391941773565944,0.00661857885998749,0.3224033006598725,10,CVaR90
GCN,B,0.38,0.07308593863134426,0.005191204901301097,0.32503843859172193,10,CVaR90
GCN,B,0.385,0.07183057138723939,0.003500132623694835,0.33221328114933796,10,CVaR90
GCN,B,0.39,0.07137674777803572,0.00292018704983084,0.3343085252328642,10,CVaR90
GCN,B,0.395,0.07098300317280039,0.0027984722862105594,0.3365214171019866,10,CVaR90
GCN,B,0.4,0.07098300317280039,0.0027984722862105594,0.3365214171019866,10,CVaR90
Stable-Tail-GNN,A,0.1,0.20525554379068306,0.04389099767379475,0.027545200626923273,10,CVaR90
Stable-Tail-GNN,A,0.105,0.19365959709363173,0.0543005440583882,0.03972962232771593,10,CVaR90
Stable-Tail-GNN,A,0.11,0.16802276295469873,0.04763429435412682,0.06598130618130534,10,CVaR90
Stable-Tail-GNN,A,0.115,0.15138478089010235,0.04474794505456332,0.08288706499459722,10,CVaR90
Stable-Tail-GNN,A,0.12,0.13845073562752627,0.03472398259987234,0.09570954743214583,10,CVaR90
Stable-Tail-GNN,A,0.125,0.1271202257965439,0.006455372533552174,0.10793395474067644,10,CVaR90
