risk_source,customer_set,budget,selector,runs,value_mean,value_std,selected_cost_increase_mean
A_Stable-Tail-eta0.5_seed4,A,0.25,cvar90,10,0.08197747234892674,0.005088177999196788,0.19972536805182403
A_Stable-Tail-eta0.5_seed4,A,0.25,cvar95,10,0.15247723371482452,0.010020035352776752,0.19972536805182403
A_Stable-Tail-eta0.5_seed4,A,0.25,edge_gini,10,0.7506577617999589,0.008647093722560423,0.19972536805182403
A_Stable-Tail-eta0.5_seed4,A,0.25,load_cvar90,10,0.04601798956667423,0.006956981052287231,0.19972536805182403
A_Stable-Tail-eta0.5_seed4,A,0.25,load_risk,10,1.6282162942050917,0.1876343799000006,0.19972536805182403
A_Stable-Tail-eta0.5_seed4,A,0.25,top10_share,10,0.7498846055658794,0.008592381133496443,0.19972536805182403
A_Stable-Tail-eta0.5_seed4,A,0.3,common_risk,10,3.164076645719285,0.09094473929599768,0.19972536805182403
A_Stable-Tail-eta0.5_seed4,A,0.3,cvar90,10,0.08197747234892674,0.005088177999196788,0.19972536805182403
A_Stable-Tail-eta0.5_seed4,A,0.3,cvar95,10,0.15247723371482452,0.010020035352776752,0.19972536805182403
A_Stable-Tail-eta0.5_seed4,A,0.3,edge_gini,10,0.7506577617999589,0.008647093722560423,0.19972536805182403
A_Stable-Tail-eta0.5_seed4,A,0.3,load_cvar90,10,0.04601798956667423,0.006956981052287231,0.19972536805182403
A_Stable-Tail-eta0.5_seed4,A,0.3,load_risk,10,1.6282162942050917,0.1876343799000006,0.19972536805182403
A_Stable-Tail-eta0.5_seed4,A,0.3,top10_share,10,0.7498846055658794,0.008592381133496443,0.19972536805182403
A_Stable-Tail-eta0.5_seed5,A,0.25,common_risk,10,2.8168625397722495,0.2632710881775127,0.23932237564064324
A_Stable-Tail-eta0.5_seed5,A,0.25,cvar90,10,0.05691532028215455,0.016201453013246766,0.23932237564064324
A_Stable-Tail-eta0.5_seed5,A,0.25,cvar95,10,0.1260929569848658,0.019834337418757165,0.23932237564064324
A_Stable-Tail-eta0.5_seed5,A,0.25,edge_gini,10,0.724708032916882,0.023901247843982475,0.23932237564064324
A_Stable-Tail-eta0.5_seed5,A,0.25,load_cvar90,10,0.03550973289735708,0.00620726746151144,0.23932237564064324
A_Stable-Tail-eta0.5_seed5,A,0.25,load_risk,10,1.3900807804789626,0.16776978335765352,0.23932237564064324
A_Stable-Tail-eta0.5_seed5,A,0.25,top10_share,10,0.716379691975229,0.029215611406485625,0.23932237564064324
A_Stable-Tail-eta0.5_seed5,A,0.3,common_risk,10,2.8168625397722495,0.2632710881775127,0.23932237564064324
A_Stable-Tail-eta0.5_seed5,A,0.3,cvar90,10,0.05691532028215455,0.016201453013246766,0.23932237564064324
