model,seed,customer_set,avg_risk_at_b,common_aubrc,cvar90_aubrc,cvar95_aubrc,load_cvar90_aubrc,max_vehicle_cvar90_aubrc
Stable-Tail-EdgeTailRaw-a020,3,A,3.4500374006278562,1.0177741032840601,0.025627786669306436,0.0401286623852622,0.01602053646472141,0.04253913849628358
Stable-Tail-EdgeTailRaw-a020,3,B,4.868603033896354,1.4341382495255464,0.0358314665855216,0.07032329298470746,0.021234221999857125,0.06237646553657726
Stable-Tail-EdgeTailRaw-a020,4,A,3.3184474060913085,0.9723448692507631,0.023156378223829065,0.03750381890475811,0.014348375185008443,0.041712203417159185
Stable-Tail-EdgeTailRaw-a020,4,B,4.599321937660349,1.3414148224585727,0.03213330673474034,0.06329225498080475,0.019317539016763145,0.05480366446568703
Stable-Tail-EdgeTailRaw-a020,5,A,3.4571987287920813,0.9936594825537873,0.02300079968018324,0.040458382525165607,0.014535816852945449,0.0391285114793878
Stable-Tail-EdgeTailRaw-a020,5,B,4.422590334770069,1.2881563346333667,0.030752478261382263,0.05965533482767095,0.01787537945158291,0.05420618620916451
Stable-Tail-EdgeTailRaw-a020,6,A,3.2667424132621394,0.9562935583561527,0.02281926499085361,0.03740036197855641,0.013755584715456704,0.045479580274567694
Stable-Tail-EdgeTailRaw-a020,6,B,5.017023520663565,1.489295226760904,0.0377311904159332,0.07247029925710954,0.02243568406913816,0.06790019668523474
Stable-Tail-EdgeTailRaw-a020,7,A,3.2891139657332973,0.9595496065776095,0.022751373384916253,0.03848859630922845,0.01341794771190346,0.04255573085411991
Stable-Tail-EdgeTailRaw-a020,7,B,4.566914707630865,1.3355980692133413,0.03162145848480719,0.062434027872762476,0.018296025623444057,0.054773298227887304
Stable-Tail-EdgeTailRaw-a020,8,A,3.4736138566551307,1.0089768262532994,0.024430778308317573,0.03990063629320242,0.015151945992163369,0.04304193857432041
Stable-Tail-EdgeTailRaw-a020,8,B,4.341319305823865,1.2617094268663243,0.029626719111405412,0.05464123139938185,0.01676387058475437,0.05211444266004192
Stable-Tail-EdgeTailRaw-a020,9,A,3.3587094900769148,0.9788814368426118,0.023880714624642856,0.03878120023076906,0.01440081166860015,0.04190652297191093
Stable-Tail-EdgeTailRaw-a020,9,B,4.484871767246159,1.3117065077712557,0.03172397966859744,0.059234377928009,0.019231914637479162,0.054345580394084415
Stable-Tail-EdgeTailRaw-a030,0,A,3.1431960507108316,0.926155824608702,0.022087787039435022,0.03631214036436116,0.013063295453144672,0.03958091071537031
Stable-Tail-EdgeTailRaw-a030,0,B,4.5262113826680315,1.321190734611598,0.031601084827310555,0.05807074276157888,0.01815448899538526,0.05261490761187635
Stable-Tail-EdgeTailRaw-a030,1,A,3.301781935813502,0.9770396333985234,0.022668414454307517,0.03835718569753936,0.013912693508848372,0.040554516298549885
Stable-Tail-EdgeTailRaw-a030,1,B,4.567842680823075,1.3349546735557967,0.032203899149243584,0.062273170646224986,0.018510750938163907,0.056762834907067614
Stable-Tail-EdgeTailRaw-a030,2,A,3.5850871155669033,1.0497613110467179,0.026341167576901366,0.04375613738990099,0.015943451939499233,0.04864081067438841
Stable-Tail-EdgeTailRaw-a030,2,B,4.898742181206587,1.4581912654388356,0.03606632251986903,0.06923883426558076,0.02021076802184442,0.06214540086623217
Stable-Tail-EdgeTailRaw-a030,3,A,3.524586063146957,1.040156975962328,0.026098653260234844,0.040515932001558425,0.01532542269249378,0.04499800552023988
Stable-Tail-EdgeTailRaw-a030,3,B,4.906464212971978,1.4459766975383386,0.03600548882024261,0.06974375203734853,0.019492291734698686,0.061013456213184505
Stable-Tail-EdgeTailRaw-a030,4,A,3.3995138033386945,0.9808417123335181,0.023429272386114385,0.03881422315546097,0.014412687304177146,0.041543218070605535
Stable-Tail-EdgeTailRaw-a030,4,B,4.737164199383313,1.3885748529462663,0.033444472805378975,0.06466944799403469,0.02017422509337788,0.060994128295230175
Stable-Tail-EdgeTailRaw-a030,5,A,3.3803731828934964,0.9757723282573768,0.0226829296749841,0.03919835315641663,0.014187858095855018,0.03837713105479977
Stable-Tail-EdgeTailRaw-a030,5,B,4.497142106524672,1.3066027643601141,0.03062029520270096,0.06300011051740943,0.0186235322265174,0.05392765882631041
Stable-Tail-EdgeTailRaw-a030,6,A,3.3349276177155063,0.9702329298041784,0.023169836187026192,0.03914144822460937,0.014557352773761552,0.04426448401556194
