group,src,dst,method,path,hop,mean_risk,max_risk,cvar80,cvar90,cvar95,re,hhi,gini,total_risk,hop_increase_pct,risk_reduction_pct,cvar90_reduction_pct
normal_high,1134,4589,Mean-risk-raw,1134 4302 3255 1189 1188 4991 3701 3699 3815 4254 4507 4817 3697 5084 4589,14,0.004851766279898584,0.006877818610519171,0.0059552378952503204,0.006877818610519171,0.006877818610519171,0.00027592360441173824,0.07393637986219102,0.09372121047475268,0.06792472791858017,0.16666666666665278,0.931745160206961,0.9840477053112473
normal_high,1134,4589,Mean-risk-floor,1134 4302 3255 1189 1188 4991 3701 3699 3815 4254 4507 4817 3697 5084 4589,14,0.004851766279898584,0.006877818610519171,0.0059552378952503204,0.006877818610519171,0.006877818610519171,0.00027592360441173824,0.07393637986219102,0.09372121047475268,0.06792472791858017,0.16666666666665278,0.931745160206961,0.9840477053112473
normal_high,1134,4589,CVaR-risk,1134 4302 3255 1189 1188 4991 1195 3477 4789 3721 4540 4058 3697 5084 4589,14,0.005387699347920716,0.00853367242962122,0.007843883475288749,0.00853367242962122,0.00853367242962122,0.0008217011844473225,0.07829429988801712,0.16540080127599044,0.07542779087089002,0.16666666666665278,0.9242056326232315,0.9802071463236095
normal_high,1134,4589,CVaR+Concentration,1134 4302 3255 1189 1188 4991 1195 3477 4141 2797 4706 3837 3697 5084 4589,14,0.0050909995666838116,0.00853367242962122,0.006783164804801345,0.00853367242962122,0.00853367242962122,0.0005124741499977452,0.07722950628306054,0.12752558471088937,0.07127399393357337,0.16666666666665278,0.928379616872753,0.9802071463236095
normal_high,1314,3284,Hop-shortest,1314 3777 3934 3658 1373 3284,5,0.0065826080739498135,0.008566392585635185,0.008566392585635185,0.008566392585635185,0.008566392585635185,0.0016309412196278573,0.21240236561352469,0.12892859863359796,0.03291304036974907,0.0,0.0,0.0
normal_high,1314,3284,Mean-risk-raw,1314 4170 833 3804 3934 3658 1373 3284,7,0.00448338092038674,0.005489971023052931,0.005489971023052931,0.005489971023052931,0.005489971023052931,0.00014299021235534122,0.14798969527338635,0.10393276437320753,0.03138366644270718,0.39999999999992,0.046467111813866174,0.359126847324499
normal_high,1314,3284,Mean-risk-floor,1314 4170 833 3804 3934 3658 1373 3284,7,0.00448338092038674,0.005489971023052931,0.005489971023052931,0.005489971023052931,0.005489971023052931,0.00014299021235534122,0.14798969527338635,0.10393276437320753,0.03138366644270718,0.39999999999992,0.046467111813866174,0.359126847324499
normal_high,1314,3284,CVaR-risk,1314 4170 833 3804 3934 3658 1373 3284,7,0.00448338092038674,0.005489971023052931,0.005489971023052931,0.005489971023052931,0.005489971023052931,0.00014299021235534122,0.14798969527338635,0.10393276437320753,0.03138366644270718,0.39999999999992,0.046467111813866174,0.359126847324499
normal_high,1314,3284,CVaR+Concentration,1314 4170 833 3804 4901 3934 3658 1373 3284,8,0.004578688181936741,0.005489971023052931,0.005489971023052931,0.005489971023052931,0.005489971023052931,0.00012511643581092358,0.1270207836041986,0.06823257060806953,0.03662950545549393,0.59999999999988,-0.11291770811449574,0.359126847324499
normal_high,3048,2302,Hop-shortest,3048 4808 4090 4081 3926 4036 3513 4830 3584 2302,9,0.004781888461568289,0.006206060294061899,0.006206060294061899,0.006206060294061899,0.006206060294061899,0.0002703455587228139,0.11505617168839473,0.1016822238970776,0.043036996154114604,0.0,0.0,0.0
normal_high,3048,2302,Mean-risk-raw,3048 4808 4090 4081 3926 4036 3513 4830 3584 2302,9,0.004781888461568289,0.006206060294061899,0.006206060294061899,0.006206060294061899,0.006206060294061899,0.0002703455587228139,0.11505617168839473,0.1016822238970776,0.043036996154114604,0.0,0.0,0.0
normal_high,3048,2302,Mean-risk-floor,3048 4808 4090 4081 3926 4036 3513 4830 3584 2302,9,0.004781888461568289,0.006206060294061899,0.006206060294061899,0.006206060294061899,0.006206060294061899,0.0002703455587228139,0.11505617168839473,0.1016822238970776,0.043036996154114604,0.0,0.0,0.0
normal_high,3048,2302,CVaR-risk,3048 4808 4090 4081 3926 4036 3513 4830 3584 2302,9,0.004781888461568289,0.006206060294061899,0.006206060294061899,0.006206060294061899,0.006206060294061899,0.0002703455587228139,0.11505617168839473,0.1016822238970776,0.043036996154114604,0.0,0.0,0.0
normal_high,3048,2302,CVaR+Concentration,3048 4808 4090 4081 3926 3334 4036 2037 3513 4830 3584 2302,11,0.004625905135815794,0.006206060294061899,0.005533677525818348,0.006206060294061899,0.006206060294061899,0.0002211918207732114,0.09430470170619497,0.10476155747370264,0.05088495649397373,0.22222222222219754,-0.18235381278873156,0.0
normal_high,948,569,Hop-shortest,948 4159 3471 4912 4913 4071 569,6,0.06458056811243296,0.36400526762008667,0.18460797099396586,0.36400526762008667,0.36400526762008667,0.059872821904718876,0.8832251862590487,0.7740573276831286,0.38748340867459774,0.0,0.0,0.0
normal_high,948,569,Mean-risk-raw,948 4159 3471 4912 2803 4025 4071 569,7,0.004502860463357398,0.0052106743678450584,0.004938177764415741,0.0052106743678450584,0.0052106743678450584,3.1595584005117416e-05,0.14395895620589616,0.04644995141062114,0.03152002324350178,0.16666666666663887,0.9186545216162005,0.9856851676820536
normal_high,948,569,Mean-risk-floor,948 4159 3471 4912 2803 4025 4071 569,7,0.004502860463357398,0.0052106743678450584,0.004938177764415741,0.0052106743678450584,0.0052106743678450584,3.1595584005117416e-05,0.14395895620589616,0.04644995141062114,0.03152002324350178,0.16666666666663887,0.9186545216162005,0.9856851676820536
normal_high,948,569,CVaR-risk,948 4159 3471 4912 2803 4025 4071 569,7,0.004502860463357398,0.0052106743678450584,0.004938177764415741,0.0052106743678450584,0.0052106743678450584,3.1595584005117416e-05,0.14395895620589616,0.04644995141062114,0.03152002324350178,0.16666666666663887,0.9186545216162005,0.9856851676820536
normal_high,948,569,CVaR+Concentration,948 949 4159 3471 4912 2803 4025 4071 569,8,0.0043691199098248035,0.0052106743678450584,0.004938177764415741,0.0052106743678450584,0.0052106743678450584,2.764613600447774e-05,0.1267158832510151,0.06343595864550444,0.03495295927859843,0.33333333333327775,0.9097949525140543,0.9856851676820536
