set,budget,method,model_seed,solver_seed,cost_inc,common_risk,cvar90,load_risk,top10share,j_score,risk_source
B,30,J-reranking,1,0,28.022109740477674,3.6281316873042146,0.08805864656104137,1.2095921499928683,0.7664260838568876,1.2094649924905583,B_GCN_seed1
B,30,J-reranking,1,1,27.459092185562916,3.274911494662822,0.07422759071547033,1.8781633346071194,0.7362720617050299,1.1041493696576559,B_GCN_seed1
B,30,J-reranking,1,2,26.845033546064474,3.2908386134793743,0.0767297965685004,2.1142690749972566,0.7388583709148593,1.3083566685600587,B_GCN_seed1
B,30,J-reranking,1,3,18.163966617574864,3.7785182346578092,0.08706004496772408,1.749691550024991,0.762062031082921,1.076521289433825,B_Stable-Tail-GNN_seed1
B,30,J-reranking,1,4,26.818706305572526,3.41465067772761,0.07863717226994155,1.763729790280547,0.7392750755154085,1.141432128727765,B_GCN_seed1
B,30,J-reranking,1,5,25.86845856241091,3.62812474976064,0.08298182158948349,1.8639843809293084,0.754814128737668,1.29229443369864,B_TEG-low_seed1
B,30,J-reranking,1,6,25.94515713025182,3.274318509461028,0.07422759071547032,2.0491013452758535,0.7364054019515036,1.16663105998283,B_TEG-low_seed1
B,30,J-reranking,1,7,26.806851033655153,3.278400783073816,0.07672979656850043,1.762623190626582,0.7345248706841907,1.1496504565977717,B_GCN_seed1
B,30,J-reranking,1,8,26.257381388719203,3.402023701305792,0.07840618784410967,1.3390840864033624,0.7406242902236725,0.9785176647526223,B_GCN_seed1
B,30,J-reranking,1,9,18.828211152131182,3.7743383911661343,0.08706004496772408,2.024898076585957,0.7629059670766647,1.1693116688690066,B_Stable-Tail-GNN_seed1
B,30,J-reranking,2,0,28.87485530722813,3.4900784070193414,0.0789675722457362,1.7230949409478329,0.7557954005984365,1.1957975333353905,B_Stable-Tail-GNN_seed2
B,30,J-reranking,2,1,28.54060644250988,3.5688674740240556,0.08393398145777416,1.5057825183713036,0.7597274746014627,1.0782083173848525,B_Stable-Tail-GNN_seed2
B,30,J-reranking,2,2,29.535537009763814,3.2090297257502294,0.07008363679416331,1.5256012215085843,0.7240142943071162,0.8876047490287269,B_TEG-low_seed2
B,30,J-reranking,2,3,28.367561228385966,3.4094376054442423,0.07840618784410969,1.440810043877326,0.7433710690417852,1.020318563453558,B_Stable-Tail-GNN_seed2
B,30,J-reranking,2,4,28.949976243806418,3.2070235494086115,0.07008363679416331,1.474301899537838,0.724467206587258,0.9387417957680981,B_TEG-low_seed2
B,30,J-reranking,2,5,27.476413493517953,3.2770002077074283,0.07422759071547033,1.5494355021254562,0.7358027724275847,0.9730937473268146,B_Stable-Tail-GNN_seed2
B,30,J-reranking,2,6,28.949976243806418,3.209924353486362,0.07008363679416332,1.4065601459890464,0.7238125066019511,0.7418261661896587,B_TEG-low_seed2
B,30,J-reranking,2,7,29.597583592428954,3.62812474976064,0.08298182158948349,1.858453757328269,0.754814128737668,1.2983050774700953,B_TEG-low_seed2
B,30,J-reranking,2,8,29.011742347111923,3.4000175249641744,0.07840618784410969,1.967969770775523,0.7410612947150212,1.1977774575731541,B_TEG-low_seed2
B,30,J-reranking,2,9,29.005678121083022,3.396225483022673,0.08028091038991646,1.157657374725472,0.7433697114310224,0.9179553017724446,B_Stable-Tail-GNN_seed2
B,30,J-reranking,3,0,27.616627511147335,3.207023549408612,0.07008363679416332,1.756473332274985,0.724467206587258,1.0719849592970336,B_TEG-low_seed3
B,30,J-reranking,3,1,29.540613291871864,3.275737046565038,0.07422759071547033,1.5925110311374375,0.7360865062735504,1.071681840054391,B_GCN_seed3
B,30,J-reranking,3,2,29.532809687448864,3.1978548039309644,0.068141491914869,1.975954211317974,0.7278110626963936,1.1620937286767508,B_GCN_seed3
B,30,J-reranking,3,3,28.697567228495064,3.2894254223395505,0.07672979656850042,1.6764356800418811,0.7359947946697005,1.0650682554499857,B_Stable-Tail-GNN_seed3
B,30,J-reranking,3,4,28.94726125025453,3.1978548039309644,0.068141491914869,1.9549487299651311,0.7278110626963936,1.2841834023457295,B_GCN_seed3
B,30,J-reranking,3,5,28.565125907825966,3.220125250527312,0.07030762169193967,1.8304636475541898,0.7238149800367403,1.0757347959087058,B_Stable-Tail-GNN_seed3
B,30,J-reranking,3,6,26.463720898662867,3.211930529827979,0.07008363679416332,1.3694124658144562,0.723360412288881,0.8229107101980144,B_TEG-low_seed3
